newsTitle,timestamp,url_source,content,source,author,urlToImage
"PM Modi, several chief ministers to attend all party-meeting on G20 summit",2022-12-05T06:45:43Z,https://timesofindia.indiatimes.com/india/pm-modi-several-chief-ministers-to-attend-all-party-meeting-on-g20-summit/articleshow/95995419.cms,"I trust 'my friend' PM Modi to bring us together in order to build peaceful, sustainable world: France President MacronFrench President Emmanuel Macron on Sunday expressed confidence in India taking ","{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"https://static.toiimg.com/thumb/msid-95995686,width-1070,height-580,imgsize-1563175,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"
Comprehensive regional security and the future order in Asia,2022-12-05T01:00:12Z,https://www.eastasiaforum.org/2022/12/05/the-promise-of-comprehensive-regional-security-in-east-asia-2/,"Author: Editorial Board, ANU
After the successes of Indonesias G20 and Thailands APEC summits last month, East Asias ability to broker consensus in the face of mounting geopolitical tensions has cau","{'id': None, 'name': 'Eastasiaforum.org'}",EAF editors,https://www.eastasiaforum.org/wp-content/uploads/2022/12/2022-11-13T051937Z_292913636_RC2RKX9Z63HI_RTRMADP_3_ASEAN-SUMMIT-min-1-scaled.jpg
'World's largest grain storage' scheme for food security soon: Report,2022-12-05T03:42:00Z,https://www.business-standard.com/article/economy-policy/world-s-largest-grain-storage-scheme-for-food-security-soon-report-122120500136_1.html,"The Centre is merging several schemes to develop the ""world's largest grain storage"" scheme amid global food disruptions in the wake of the war in Ukraine and the Covid-19 pandemic","{'id': None, 'name': 'Business Standard'}",BS Web Team,https://bsmedia.business-standard.com/_media/bs/img/article/2022-04/17/full/1650219556-255.jpg
India’s presidency of G20 a matter of pride for all citizens: Modi,2022-12-05T21:40:03Z,https://thehillstimes.in/national/indias-presidency-of-g20-a-matter-of-pride-for-all-citizens-modi,"NEW DELHI, Dec 5 (PTI): Prime Minister Narendra Modi on Monday chaired an all-party meeting at the Rashtrapati Bhavan to solicit suggestions for the G20 summit next year","{'id': None, 'name': 'Thehillstimes.in'}",The Hills Times,https://thehillstimes.in/wp-content/uploads/2022/12/398.jpg
"Hope, Harmony, Healing: G20 Sherpa Amitabh Kant On India's G20 Presidency",2022-12-05T09:35:20Z,https://www.ndtv.com/india-news/hope-harmony-healing-g20-sherpa-amitabh-kant-on-indias-g20-presidency-3579029,Former NITI Aayog CEO Amitabh Kant is India's G20 Sherpa,"{'id': None, 'name': 'NDTV News'}",,https://c.ndtvimg.com/2022-11/trbgaehg_amitabh-kant_625x300_08_November_22.jpg
Exclusive: Ukraine Foreign Minister's Interview - Read Full Transcript,2022-12-06T08:08:48Z,https://www.ndtv.com/world-news/exclusive-ukraine-foreign-minister-dmytro-kulebas-interview-read-full-transcript-3581819,"Russia must withdraw its forces from the entire territory of Ukraine, said Dmytro Kuleba.
Vishnu Som: Joining us today is Dmytro Kuleba, the Minister of Foreign affairs of Ukraine","{'id': None, 'name': 'NDTV News'}",,https://c.ndtvimg.com/2022-12/e16tcslg_dmytro-kuleba-ukraine_625x300_06_December_22.jpg
G20 summit: Amitabh Kant holds talks with Sherpas of emerging market economies,2022-12-05T06:59:18Z,https://timesofindia.indiatimes.com/business/india-business/g20-summit-amitabh-kant-holds-talks-with-sherpas-of-emerging-market-economies/articleshow/95995738.cms,,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ANI,"https://static.toiimg.com/thumb/msid-95995784,width-1070,height-580,imgsize-74284,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg"
G20 Summit: Amitabh Kant holds talks with Sherpas of Emerging Market Economies,2022-12-05T05:45:42Z,https://economictimes.indiatimes.com/news/india/g20-summit-amitabh-kant-holds-talks-with-sherpas-of-emerging-market-economies/articleshow/95993762.cms,G20 Sherpa Amitabh Kant on Monday interacted with Sherpas of all the Emerging Market Economies (EME) on the sidelines of the 1st Sherpa meeting of the G20 India Presidency,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ANI,"https://img.etimg.com/thumb/msid-95993827,width-1070,height-580,imgsize-118336,overlay-economictimes/photo.jpg"
"PM Modi chairs key all-party meet to strategise for 2023 G20 summit, several CMs in attendance",2022-12-05T12:54:30Z,https://economictimes.indiatimes.com/news/india/pm-modi-chairs-key-all-party-meet-to-strategise-for-2023-g20-summit-several-cms-in-attendance/articleshow/96005428.cms,Prime Minister Narendra Modi on Monday chaired an all-party meeting at the Rashtrapati Bhavan to solicit suggestions for the G20 summit next year,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"https://img.etimg.com/thumb/msid-96005153,width-1070,height-580,imgsize-37572,overlay-economictimes/photo.jpg"
"Dovetail climate finance with sustainable development goals, says India at G20 Sherpa meet",2022-12-05T15:11:02Z,https://economictimes.indiatimes.com/news/india/dovetail-climate-finance-with-sustainable-development-goals-says-india-at-g20-sherpa-meet/articleshow/96008232.cms,"At the first meeting of the G20 Sherpas, India on Monday proposed dovetailing climate action with sustainable development, making a clear bid to bring issues facing the emerging economies and the glo","{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"https://img.etimg.com/thumb/msid-96008260,width-1070,height-580,imgsize-86738,overlay-economictimes/photo.jpg"
EAM S Jaishankar and German FM Baerbock discuss cooperation between nations among other issues,2022-12-05T09:26:08Z,https://economictimes.indiatimes.com/news/india/eam-s-jaishankar-and-german-fm-baerbock-discuss-cooperation-between-nations-among-other-issues/articleshow/95999609.cms,"India and Germany on Monday inked a mobility partnership pact and held comprehensive discussions on key global challenges including the Ukraine conflict, situation in Afghanistan and cross-border ter","{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"https://img.etimg.com/thumb/msid-95999744,width-1070,height-580,imgsize-66842,overlay-economictimes/photo.jpg"
India resumes e-visa facility for UK nationals; check details here,2022-12-06T04:41:01Z,https://www.businesstoday.in/latest/world/story/india-resumes-e-visa-facility-for-uk-nationals-check-details-here-355337-2022-12-06,"For the first time since the Covid outbreak, India is ready to resume its e-visa facility for UK nationals travelling to the country","{'id': None, 'name': 'Business Today'}",Business Today Desk,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202212/ezgif-sixteen_nine_49.jpg
Big cheer for UK nationals as e-visa facility resumes for travelling to India,2022-12-06T04:41:01Z,https://www.businesstoday.in/latest/world/story/big-cheer-for-uk-nationals-as-e-visa-facility-resumes-for-travelling-to-india-355337-2022-12-06,"For the first time since the Covid outbreak, India is ready to resume its e-visa facility for UK nationals travelling to the country","{'id': None, 'name': 'Business Today'}",Business Today Desk,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202212/ezgif-sixteen_nine_49.jpg
Centre had various other options apart from lotus for G20 logo: Mamata Banerjee,2022-12-05T09:50:17Z,https://www.businesstoday.in/latest/politics/story/centre-had-various-other-options-apart-from-lotus-for-g20-logo-mamata-banerjee-355254-2022-12-05,West Bengal Chief Minister Mamata Banerjee on Monday said Centre could have used any national symbol other than lotus for G20 logo,"{'id': None, 'name': 'Business Today'}",Business Today Desk,https://akm-img-a-in.tosshub.com/businesstoday/images/story/202212/g20-sixteen_nine.jpg
PM Modi chairs key all-party meet to strategise upcoming G20 summit,2022-12-05T14:30:00Z,https://www.business-standard.com/article/current-affairs/pm-modi-chairs-key-all-party-meet-to-strategise-upcoming-g20-summit-122120500921_1.html,Prime Minister Narendra Modi on Monday chaired an all-party meeting at the Rashtrapati Bhavan to solicit suggestions for the G20 summit next year,"{'id': None, 'name': 'Business Standard'}",Press Trust of India,https://bsmedia.business-standard.com/_media/bs/img/article/2022-10/22/full/1666439057-2037.jpg
Dovetail climate finance with sustainable development goals: India at G20,2022-12-05T15:13:00Z,https://www.business-standard.com/article/current-affairs/dovetail-climate-finance-with-sustainable-development-goals-india-at-g20-122120501073_1.html,"At the first meeting of the G20 Sherpas, India on Monday proposed dovetailing climate action with sustainable development, making a clear bid to bring issues facing the emerging economies and the glo","{'id': None, 'name': 'Business Standard'}",Press Trust of India,https://bsmedia.business-standard.com/_media/bs/img/article/2022-01/04/full/1641313508-4303.jpg
"Climate issues, economic growth solutions sought from India G20 presidency",2022-12-05T03:26:00Z,https://www.business-standard.com/article/current-affairs/climate-issues-economic-growth-solutions-sought-from-india-g20-presidency-122120500036_1.html,"Udaipur (Rajasthan) [India], December 5 (ANI): Sherpas and delegates of countries attending the first Sherpa of India's G20 Presidency stated that India has the leadership in bolstering the grouping'","{'id': None, 'name': 'Business Standard'}",ANI,https://bsmedia.business-standard.com/_media/bs/img/article/2022-12/05/full/1670210332-516.jpg
"MoS, Textiles Darshana Jardosh “Technotex 2023 is being organised at the most opportune time, when India has assumed G20 Presidency” - PIB",2022-12-05T11:16:00Z,https://pib.gov.in/PressReleasePage.aspx?PRID=1880965,"Technotex 2023 offers a good opportunity for startup entrepreneurs: MoS, Textiles Darshana JardoshTechnotex 2023 is being organised at the most opportune time, when India has assumed G20 Presidency
","{'id': None, 'name': 'Pib.gov.in'}",,https://164.100.158.168/images/indian-emblem.png
"G20 Presidency honour for India, all parties stakeholders: PM Modi",2022-12-06T01:13:00Z,https://www.business-standard.com/article/current-affairs/g20-presidency-honour-for-india-all-parties-stakeholders-pm-modi-122120600018_1.html,"Noting India's G20 Presidency is an honour for the country which every Indian should take pride in,Prime Minister Narendra Modi on Monday sought cooperation from political parties for its success and","{'id': None, 'name': 'Business Standard'}",ANI,https://bsmedia.business-standard.com/_media/bs/img/article/2022-12/06/full/1670289189-9566.jpg
"G20 presidency opportunity to showcase India's strengths, says PM Modi",2022-12-06T01:14:00Z,https://www.business-standard.com/article/current-affairs/g20-presidency-opportunity-to-showcase-india-s-strengths-says-pm-modi-122120501320_1.html,"Prime Minister Narendra Modi on Monday chaired a meeting of leaders from different parties on India's presidency of the G-20 and sought their cooperation, saying it is a unique opportunity to showcas","{'id': None, 'name': 'Business Standard'}",Press Trust of India,https://bsmedia.business-standard.com/_media/bs/img/article/2022-11/19/full/1668852159-8372.jpg
Visiting India is like visiting sixth of world: German foreign minister,2022-12-05T05:24:00Z,https://www.business-standard.com/article/current-affairs/visiting-india-is-like-visiting-sixth-of-world-german-foreign-minister-122120500211_1.html,"India will have a decisive influence in shaping the international order in the 21st century, especially in the Indo-Pacific, German Foreign Minister Annalena Baerbock said as she kicked off her two-d","{'id': None, 'name': 'Business Standard'}",Press Trust of India,https://bsmedia.business-standard.com/_media/bs/img/article/2022-12/05/full/1670210685-5115.jpg
G20-2023: What is India's agenda?,2022-12-05T21:00:00Z,https://www.bangkokpost.com/opinion/opinion/2453850/g20-2023-what-is-indias-agenda-,The success of the G20 in Bali has turned President Widodo Joko into a global leader for overcoming divisions regarding the war in Ukraine,"{'id': None, 'name': 'Bangkok Post'}",Kavi Chongkittavorn,https://static.bangkokpost.com/media/content/dcx/2022/12/06/4554790_700.jpg
"PM Modi, several chief ministers to attend all party-meeting on G20 summit",2022-12-05T04:34:51Z,https://www.moneycontrol.com/news/india/pm-modi-several-chief-ministers-to-attend-all-party-meeting-on-g20-summit-9650151.html,"Prime Minister Narendra Modi, chief ministers of several states and presidents of various political parties will attend the all-party meeting called by the Centre to solicit suggestions for the G20 s","{'id': None, 'name': 'Moneycontrol'}",PTI,https://images.moneycontrol.com/static-mcnews/2022/11/pm_modi-sixteen_nine.png
India hosts 1st G20 Sherpa meeting under its presidency,2022-12-05T01:56:33Z,http://en.people.cn/n3/2022/1205/c90000-10179727.html,"(Xinhua) 09:39, December 05, 2022
NEW DELHI, Dec. 4 (Xinhua) -- The first G20 Sherpa meeting under India's presidency began Sunday evening in the western state of Rajasthan, officials said","{'id': None, 'name': 'People.cn'}",F_400984,
"Andhra woman ends life in Oman due to excessive work pressure as housemaid, ill health",2022-12-06T00:30:08Z,https://www.timesnownews.com/mirror-now/crime/andhra-woman-ends-life-in-oman-due-to-excessive-work-pressure-as-housemaid-ill-health-article-95998147,"'Different logo should have been used for G20 Summit, lotus is already the symbol of ruling party': CM Mamata Banerjee","{'id': None, 'name': 'Zoom'}",Anurakti Sharma,"https://static.tnn.in/thumb/msid-95998147,imgsize-100,width-1280,height-720,resizemode-75/95998147.jpg"
